,index,Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Enrollment_Month,Enrollment_Year,Enrollment_Day,Num_Users_Total,TotalVisitsWeb,TotalMntMeat,TotalMntWine,TotalMntFruit,Average_Uses,Average_Meat,Average_Wine,Average_Fruit
1957,2184,48,1964,Graduation,Together,55761.0,0,1,2014-04-24,97,136,1,12,0,3,32,2,4,1,3,6,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,4,2014,24,1958,10663,330332,612456,52174,5.4458631256384065,168.70888661899897,312.7967313585291,26.646578140960163
2207,888,49,1970,Graduation,Single,20587.0,1,0,2014-11-05,39,2,3,6,4,1,9,1,1,1,2,7,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,11,2014,5,2208,11768,368087,673552,57822,5.329710144927536,166.70606884057972,305.0507246376812,26.1875
111,1888,55,1963,Graduation,Together,56253.0,0,1,2012-07-12,83,509,0,65,7,11,5,4,7,2,9,6,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,7,2012,12,112,721,19172,40632,3477,6.4375,171.17857142857142,362.7857142857143,31.044642857142858
1336,156,67,1972,Master,Single,46423.0,1,1,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,9,2013,18,1337,7650,235995,446960,36597,5.721765145848916,176.51084517576663,334.3006731488407,27.37247569184742
979,1838,73,1953,PhD,Single,51411.0,1,2,2013-05-26,81,14,0,3,0,0,1,1,0,0,3,5,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,5,2013,26,980,5740,182461,347710,28342,5.857142857142857,186.184693877551,354.8061224489796,28.920408163265307
1163,748,75,1982,2n Cycle,Together,41039.0,0,0,2013-07-25,32,34,11,137,179,61,45,1,8,1,5,8,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,7,2013,25,1164,6753,209764,394309,32223,5.801546391752577,180.20962199312714,338.7534364261168,27.682989690721648
1322,1152,78,1969,Graduation,Married,25293.0,1,0,2013-09-15,51,15,0,11,0,2,9,1,1,1,2,8,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,9,2013,15,1323,7584,234071,443481,36424,5.732426303854876,176.9244142101285,335.20861678004536,27.531368102796673
1267,383,87,1981,2n Cycle,Married,27733.0,1,0,2013-08-26,16,0,7,5,26,2,17,2,2,0,3,7,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,8,2013,26,1268,7296,226663,425646,35333,5.753943217665615,178.756309148265,335.68296529968455,27.865141955835963
1316,1097,89,1975,2n Cycle,Married,22212.0,1,0,2013-09-12,49,5,9,20,6,8,21,2,2,0,4,6,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,9,2013,12,1317,7549,233739,442994,36356,5.731966590736523,177.47835990888382,336.36598329536827,27.605163249810175
2231,286,92,1988,Graduation,Alone,34176.0,1,0,2014-12-05,12,5,7,24,19,14,20,4,3,0,4,6,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,12,2014,5,2232,11880,372028,679073,58576,5.32258064516129,166.67921146953404,304.24417562724017,26.24372759856631
1138,771,113,1951,Graduation,Married,30833.0,1,1,2013-07-16,33,11,0,7,3,1,6,2,1,0,3,5,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,7,2013,16,1139,6606,206720,386828,31547,5.79982440737489,181.49253731343285,339.62071992976297,27.697102721685688
782,21,115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,3,2013,26,783,4715,143808,280589,23336,6.021711366538953,183.66283524904213,358.3512132822478,29.803320561941252
995,2077,123,1951,Graduation,Widow,67046.0,0,1,2013-06-01,92,544,35,133,23,151,107,2,4,5,4,2,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,6,2013,1,996,5818,185043,350943,28711,5.841365461847389,185.78614457831324,352.3524096385542,28.826305220883533
943,1480,125,1958,2n Cycle,Together,53083.0,1,1,2013-05-15,65,215,7,33,3,0,13,6,5,1,5,7,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,5,2013,15,944,5550,174058,331984,27185,5.879237288135593,184.3834745762712,351.6779661016949,28.797669491525422
1263,1650,143,1970,Graduation,Single,61209.0,0,0,2013-08-25,73,466,0,224,119,49,99,1,5,3,4,2,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,8,2013,25,1264,7270,226456,424975,35310,5.7515822784810124,179.15822784810126,336.2143987341772,27.935126582278482
1542,1758,146,1960,PhD,Single,76045.0,0,0,2013-11-15,78,760,53,400,17,93,0,1,4,5,11,2,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,11,2013,15,1543,8714,268088,504011,41862,5.647440051847052,173.7446532728451,326.64355152300715,27.130265716137394
1431,677,153,1953,Graduation,Divorced,23272.0,0,0,2013-10-17,29,19,3,6,4,2,12,1,1,0,3,4,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,10,2013,17,1432,8133,250699,472827,39456,5.679469273743017,175.0691340782123,330.18645251396646,27.553072625698324
1545,88,158,1945,PhD,Together,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,11,2013,17,1546,8726,268747,504742,41979,5.6442432082794305,173.83376455368693,326.48253557567915,27.153298835705044
298,1355,164,1977,PhD,Married,28973.0,0,0,2012-10-13,59,206,0,46,3,2,12,2,5,1,5,8,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,10,2012,13,299,1934,58695,114260,9064,6.468227424749164,196.30434782608697,382.1404682274248,30.31438127090301
1376,2103,175,1986,Graduation,Married,71952.0,1,0,2013-10-01,93,656,80,455,52,107,93,2,8,4,8,4,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,10,2013,1,1377,7848,242096,458708,37682,5.699346405228758,175.81408859840232,333.121278140886,27.365286855482935
1763,1648,176,1980,2n Cycle,Single,67506.0,0,1,2014-02-01,73,90,38,67,33,36,67,1,4,1,6,3,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,2,2014,1,1764,9755,308140,569978,48519,5.530045351473923,174.68253968253967,323.11678004535145,27.505102040816325
668,922,178,1956,Graduation,Married,62503.0,0,1,2013-02-18,40,478,0,193,110,75,117,4,8,3,11,5,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,2,2013,18,669,4088,126007,245037,20213,6.110612855007473,188.35127055306427,366.27354260089686,30.21375186846039
1502,1406,182,1946,PhD,Together,44124.0,0,1,2013-11-05,62,284,0,55,0,6,52,4,6,2,5,8,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,11,2013,5,1503,8512,262503,493790,41323,5.6633399866932805,174.65269461077844,328.5362608117099,27.493679308050567
1798,1824,193,1996,Basic,Married,14421.0,0,0,2014-02-17,81,0,0,2,3,3,8,1,1,0,2,5,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,2,2014,17,1799,9918,314630,581297,49789,5.513062812673708,174.8916064480267,323.1222901612007,27.675931072818234
2170,1248,194,1965,Graduation,Married,48006.0,1,1,2014-09-06,55,23,0,11,3,2,2,1,1,0,3,6,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,9,2014,6,2171,11593,364206,665472,57156,5.339935513588208,167.759557807462,306.5278673422386,26.32703823122985
176,496,195,1972,Graduation,Single,38808.0,1,0,2012-08-26,21,125,17,52,3,19,30,4,5,1,4,8,1,0,False,False,False,False,True,False,False,False,False,False,True,False,False,8,2012,26,177,1174,30087,65759,4873,6.632768361581921,169.98305084745763,371.51977401129943,27.531073446327685
562,774,199,1962,Master,Single,45183.0,0,0,2013-01-20,33,219,3,60,12,9,12,1,4,1,7,7,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,1,2013,20,563,3498,108756,212686,16914,6.213143872113677,193.17229129662522,377.7726465364121,30.042628774422734
1986,1217,202,1948,PhD,Widow,82032.0,0,0,2014-05-04,54,332,194,377,149,125,57,0,4,6,7,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,5,2014,4,1987,10767,338395,622243,53341,5.418721690991444,170.30447911424258,313.1570206341218,26.844992450931052
854,1058,203,1975,Master,Single,81169.0,0,0,2013-04-14,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,4,2013,14,855,5088,157596,306742,24928,5.950877192982456,184.32280701754385,358.7625730994152,29.155555555555555
2046,2202,213,1963,PhD,Single,23091.0,1,1,2014-05-28,98,35,0,11,0,0,2,4,2,1,3,7,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,5,2014,28,2047,11053,346046,635831,54149,5.399609184171959,169.05031753786028,310.6160234489497,26.45285784074255
397,1770,217,1956,Master,Single,64857.0,0,0,2012-11-23,78,556,14,717,210,0,43,1,7,5,10,4,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,11,2012,23,398,2556,77767,158693,11699,6.422110552763819,195.39447236180905,398.72613065326635,29.394472361809044
892,2032,221,1955,Graduation,Married,48726.0,0,1,2013-04-27,90,138,3,38,4,0,59,3,3,2,4,6,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,4,2013,27,893,5305,164943,317902,25831,5.940649496080627,184.70660694288912,355.993281075028,28.92609182530795
2202,1936,231,1956,Master,Together,28839.0,1,1,2014-11-03,86,24,0,7,0,0,1,2,2,0,3,5,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,11,2014,3,2203,11748,367917,672719,57770,5.332728098048116,167.0072628234226,305.3649568769859,26.22333182024512
1141,195,232,1965,Graduation,Single,61559.0,0,1,2013-07-17,8,279,83,88,32,14,34,1,4,2,10,3,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,7,2013,17,1142,6620,207080,387744,31658,5.796847635726795,181.3309982486865,339.5306479859895,27.721541155866902
283,1374,234,1979,Graduation,Divorced,15287.0,1,0,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7,1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,10,2012,10,284,1831,56729,110671,8813,6.447183098591549,199.75,389.6866197183099,31.031690140845072
559,1412,236,1951,Graduation,Married,34838.0,1,1,2013-01-19,62,28,23,29,29,14,47,3,2,1,4,6,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,1,2013,19,560,3476,108455,211466,16869,6.207142857142857,193.66964285714286,377.61785714285713,30.123214285714287
570,1718,238,1967,2n Cycle,Together,67309.0,1,1,2013-01-23,76,515,47,181,149,95,95,15,9,6,9,7,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,1,2013,23,571,3547,109919,215702,17338,6.211908931698774,192.50262697022768,377.7618213660245,30.36427320490368
1603,1317,241,1952,Graduation,Together,83844.0,0,0,2013-12-05,57,901,31,345,75,31,191,1,4,4,11,1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,12,2013,5,1604,9005,281653,526931,43583,5.614089775561097,175.59413965087282,328.51059850374065,27.1714463840399
2056,1588,246,1965,Graduation,Married,66480.0,1,1,2014-05-31,71,199,9,57,20,21,6,7,4,1,7,4,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,5,2014,31,2057,11098,347928,638973,54328,5.395235780262518,169.14341273699563,310.6334467671366,26.41127856101118
382,387,247,1971,Graduation,Married,36715.0,1,0,2012-11-17,16,172,10,125,21,13,16,6,7,2,4,9,1,0,False,False,False,True,False,False,False,False,False,False,True,False,False,11,2012,17,383,2459,75437,151371,11502,6.420365535248042,196.9634464751958,395.22454308093995,30.031331592689295
749,277,252,1963,PhD,Divorced,41003.0,0,0,2013-03-17,11,123,133,142,71,44,88,1,6,2,8,6,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,3,2013,17,750,4503,140175,273004,22716,6.004,186.9,364.00533333333334,30.288
2003,110,254,1955,Graduation,Together,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,5,2014,17,2004,10835,341495,627200,53585,5.406686626746507,170.4066866267465,312.9740518962076,26.739021956087825
1899,728,255,1951,Graduation,Divorced,22263.0,1,1,2014-03-30,31,17,0,2,0,0,2,2,1,0,3,6,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,3,2014,30,1900,10407,325377,603912,51109,5.477368421052631,171.25105263157894,317.8484210526316,26.899473684210527
897,1680,257,1959,PhD,Married,75032.0,0,1,2013-04-28,74,952,12,180,47,12,12,2,5,4,9,3,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,4,2013,28,898,5328,165214,319439,25848,5.933184855233853,183.97995545657017,355.7227171492205,28.783964365256125
2048,209,263,1945,PhD,Single,45576.0,0,0,2014-05-28,9,56,19,29,2,14,25,1,3,1,3,8,1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,5,2014,28,2049,11062,346078,635893,54170,5.398731088335774,168.9009272816008,310.3430941922889,26.437286481210347
376,1611,269,1963,PhD,Single,46757.0,0,1,2012-11-16,71,777,30,163,0,51,122,6,4,4,7,9,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,11,2012,16,377,2425,74247,148536,11401,6.43236074270557,196.9416445623342,393.9946949602122,30.24137931034483
625,703,271,1969,Graduation,Widow,40590.0,1,1,2013-02-10,30,154,0,50,6,11,37,5,3,4,3,6,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,2,2013,10,626,3858,118331,232047,18782,6.1629392971246,189.02715654952075,370.6821086261981,30.003194888178914
1137,1076,273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,7,2013,16,1138,6601,206713,386817,31547,5.800527240773286,181.6458699472759,339.90949033391917,27.721441124780316
1653,1692,274,1973,Graduation,Single,34853.0,1,1,2013-12-23,75,9,3,15,2,3,2,2,2,0,3,6,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,12,2013,23,1654,9260,288765,541085,44701,5.598548972188634,174.58585247883917,327.1372430471584,27.025997581620313
1576,1070,286,1952,Graduation,Single,44213.0,1,1,2013-11-29,48,95,11,35,0,4,7,4,2,1,5,6,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,11,2013,29,1577,8861,277546,518525,43247,5.618896639188332,175.99619530754597,328.8046924540266,27.423589093214964
1051,323,291,1970,Graduation,Married,72940.0,0,0,2013-06-19,13,182,74,298,162,149,116,1,3,3,6,1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,6,2013,19,1052,6104,196253,365889,29992,5.802281368821292,186.5522813688213,347.8032319391635,28.509505703422054
1147,1736,295,1989,Graduation,Single,81217.0,0,0,2013-07-19,77,493,70,324,146,40,84,1,3,7,11,1,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,7,2013,19,1148,6646,208249,389709,31862,5.789198606271777,181.40156794425087,339.4677700348432,27.754355400696863
1652,1513,304,1981,Master,Single,22944.0,1,0,2013-12-23,67,19,3,19,4,5,26,3,3,0,3,7,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,12,2013,23,1653,9254,288750,541076,44698,5.598306110102843,174.68239564428313,327.329703569268,27.04053236539625
309,1089,309,1961,PhD,Together,63342.0,0,1,2012-10-16,48,918,21,118,13,10,21,3,8,3,5,6,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,10,2012,16,310,2000,61030,120547,9614,6.451612903225806,196.8709677419355,388.86129032258066,31.01290322580645
1630,1828,310,1970,Master,Married,61872.0,0,1,2013-12-13,81,330,5,159,36,27,16,4,4,4,9,4,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,12,2013,13,1631,9151,284564,534856,44143,5.610668301655426,174.47210300429185,327.931330472103,27.064990803188227
1469,2206,313,1968,Graduation,Widow,73455.0,0,0,2013-10-28,98,901,61,757,186,163,20,1,6,5,10,3,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,10,2013,28,1470,8343,255464,482256,40140,5.6755102040816325,173.78503401360544,328.065306122449,27.306122448979593
1587,2102,322,1978,Graduation,Together,42554.0,1,1,2013-12-01,93,29,1,11,0,0,0,2,2,0,3,4,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,12,2013,1,1588,8925,278589,520442,43344,5.620277078085643,175.43387909319898,327.7342569269521,27.29471032745592
669,872,326,1973,Graduation,Married,51148.0,1,1,2013-02-18,38,235,6,45,8,9,12,4,5,1,6,6,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,2,2013,18,670,4094,126052,245272,20219,6.11044776119403,188.1373134328358,366.0776119402985,30.177611940298508
771,1292,332,1957,Graduation,Married,47743.0,0,1,2013-03-22,56,198,2,43,0,12,20,3,4,1,6,6,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,3,2013,22,772,4649,142581,277501,23183,6.022020725388601,184.69041450777203,359.45725388601034,30.02979274611399
396,1868,339,1972,PhD,Married,57091.0,0,1,2012-11-23,82,462,0,24,6,0,4,2,9,2,5,7,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,11,2012,23,397,2552,77050,158137,11685,6.428211586901763,194.08060453400503,398.3299748110831,29.43324937027708
450,48,340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,12,2012,15,451,2852,92651,181466,13695,6.323725055432372,205.43458980044346,402.3636363636364,30.365853658536587
124,721,347,1976,Graduation,Divorced,40780.0,0,1,2012-08-09,30,229,27,71,13,3,34,4,7,1,5,9,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,8,2012,9,125,803,22123,45179,3767,6.424,176.984,361.432,30.136
536,775,359,1950,Graduation,Together,48070.0,0,1,2013-01-13,33,373,14,83,6,9,19,3,8,2,6,7,0,1,False,False,False,False,False,True,False,False,False,False,True,False,False,1,2013,13,537,3337,103823,204601,15902,6.21415270018622,193.3389199255121,381.0074487895717,29.612662942271882
1804,1898,361,1969,Master,Married,43142.0,1,1,2014-02-18,84,5,1,7,2,1,4,1,1,0,2,7,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,2,2014,18,1805,9944,316122,583486,49848,5.509141274238227,175.13684210526316,323.26094182825483,27.61662049861496
674,1683,367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,2,2013,19,675,4121,126770,247451,20413,6.105185185185185,187.8074074074074,366.59407407407406,30.241481481481483
415,1394,368,1974,Graduation,Married,40049.0,0,1,2012-11-29,61,91,65,52,10,44,28,3,3,2,6,5,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,11,2012,29,416,2662,81747,165577,12145,6.399038461538462,196.50721153846155,398.02163461538464,29.19471153846154
694,1788,375,1954,Graduation,Divorced,76773.0,0,0,2013-02-25,79,516,56,449,86,33,16,1,2,2,11,1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,2,2013,25,695,4238,129519,254855,20916,6.097841726618705,186.35827338129496,366.6978417266187,30.094964028776978
489,1547,378,1971,Graduation,Married,52531.0,0,0,2012-12-30,68,283,112,151,51,72,125,2,7,2,10,6,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,12,2012,30,490,3085,97521,192023,14662,6.295918367346939,199.02244897959184,391.88367346938776,29.922448979591838
280,410,380,1954,Graduation,Divorced,64497.0,0,1,2012-10-09,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,10,2012,9,281,1816,56616,110153,8783,6.462633451957295,201.48042704626334,392.0035587188612,31.256227758007118
374,1353,387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,11,2012,13,375,2410,73922,146935,11339,6.426666666666667,197.12533333333334,391.82666666666665,30.237333333333332
637,1543,405,1964,Graduation,Divorced,41638.0,0,1,2013-02-13,68,315,0,31,4,0,91,4,5,5,3,8,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,2,2013,13,638,3905,120669,234423,19462,6.120689655172414,189.13636363636363,367.4341692789969,30.504702194357368
673,1505,425,1985,Graduation,Married,55357.0,2,0,2013-02-19,66,374,64,116,84,25,64,3,6,2,11,5,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,2,2013,19,674,4112,126676,247404,20323,6.100890207715134,187.946587537092,367.0682492581602,30.152818991097924
1389,959,433,1958,Master,Alone,61331.0,1,1,2013-10-03,42,534,5,47,0,5,41,5,11,1,6,8,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,10,2013,3,1390,7917,245414,463677,38406,5.69568345323741,176.5568345323741,333.5805755395684,27.63021582733813
1737,936,437,1976,Master,Divorced,75012.0,0,0,2014-01-25,41,294,142,218,164,58,151,1,3,8,11,1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,1,2014,25,1738,9619,305841,565369,47984,5.53452243958573,175.9729574223245,325.2986191024166,27.60874568469505
502,1321,448,1978,PhD,Single,54880.0,1,0,2013-01-03,57,308,85,137,102,45,118,2,6,2,11,5,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,1,2013,3,503,3175,98310,193723,14856,6.312127236580517,195.44731610337973,385.1351888667992,29.53479125248509
1610,2029,450,1958,Master,Together,42315.0,0,1,2013-12-07,90,67,15,80,17,11,80,3,1,4,4,3,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,12,2013,7,1611,9037,282161,528094,43798,5.609559279950341,175.14649286157666,327.8050900062073,27.18684047175667
1646,2047,451,1989,Graduation,Single,9255.0,1,0,2013-12-20,91,9,0,7,2,0,4,1,1,1,2,8,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,12,2013,20,1647,9225,287520,540231,44593,5.601092896174864,174.5719489981785,328.0091074681239,27.075288403157256
2117,28,453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,6,2014,29,2118,11366,356694,654880,56084,5.366383380547687,168.41076487252124,309.1973559962228,26.479697828139756
375,1088,454,1980,Graduation,Together,69508.0,1,0,2012-11-14,48,824,32,162,42,32,43,2,11,4,11,6,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,11,2012,14,376,2416,74084,147759,11371,6.425531914893617,197.03191489361703,392.9760638297872,30.242021276595743
866,1948,455,1946,PhD,Married,51012.0,0,0,2013-04-18,86,102,9,63,2,9,24,1,4,1,4,6,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,4,2013,18,867,5156,159768,309450,25227,5.946943483275663,184.27681660899654,356.9204152249135,29.096885813148788
1092,2173,456,1986,2n Cycle,Married,7500.0,1,0,2013-07-02,96,1,11,5,4,6,9,2,2,0,3,8,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,7,2013,2,1093,6347,200638,373815,30576,5.806953339432754,183.56633119853615,342.0082342177493,27.9743824336688
119,1641,460,1972,PhD,Married,79930.0,0,0,2012-08-08,72,792,86,740,67,51,17,1,3,5,8,2,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,8,2012,8,120,761,21466,43775,3690,6.341666666666667,178.88333333333333,364.7916666666667,30.75
713,227,466,1944,Graduation,Married,65275.0,0,0,2013-03-04,9,388,14,218,91,14,21,1,4,3,13,2,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,3,2013,4,714,4342,133700,263457,21518,6.081232492997199,187.2549019607843,368.9873949579832,30.137254901960784
